Title,Code,Genre,Nation,Director,Actor,Movie Code
달링,152655,"['드라마', '멜로/로맨스']",['영국'],['앤디 서키스'],"['앤드류 가필드', '클레어 포이']",
아마데우스,10114,['드라마'],['미국'],['밀로스 포만'],"['톰 헐스', 'F. 머레이 아브라함', '엘리자베스 베리지']",
해리 포터와 마법사의 돌,30688,"['판타지', '가족', '모험', '액션']","['영국', '미국']",['크리스 콜럼버스'],"['다니엘 래드클리프', '루퍼트 그린트', '엠마 왓슨']",
알라딘,13008,"['애니메이션', '뮤지컬', '코미디', '가족', '모험', '드라마', '멜로/로맨스']",['미국'],"['존 머스커', '론 클레멘츠']","['스콧 와인거', '로빈 윌리엄스', '린다 라킨']",
언터처블: 1%의 우정,87566,"['코미디', '드라마']",['프랑스'],"['올리비에르 나카체', '에릭 토레다노']","['프랑수아 클루제', '오마 사이']",
그대를 사랑합니다,73476,['드라마'],['한국'],['추창민'],"['이순재', '윤소정', '송재호']",
언플랜드,182525,['드라마'],['미국'],"['척 콘젤만', '캐리 솔로몬']","['애슐리 브래처', '브룩스 라이언', '로비아 스캇']",
시네마 천국,10001,"['드라마', '멜로/로맨스']","['프랑스', '이탈리아']",['쥬세페 토르나토레'],"['마르코 레오나르디', '필립 느와레', '자끄 페렝']",
아이언 자이언트,25915,"['애니메이션', 'SF', '액션', '가족']",['미국'],['브래드 버드'],"['제니퍼 애니스톤', '빈 디젤', '엘리 마리엔탈']",
아이 엠 샘,34227,['드라마'],['미국'],['제시 넬슨'],"['숀 펜', '미셸 파이퍼']",
빌리 엘리어트,31013,"['드라마', '가족', '코미디']","['영국', '프랑스']",['스티븐 달드리'],"['제이미 벨', '줄리 월터스', '게리 루이스']",
라푼젤,75470,"['애니메이션', '코미디', '가족', '판타지', '뮤지컬', '멜로/로맨스']",['미국'],"['네이슨 그레노', '바이론 하워드']","['맨디 무어', '제커리 레비']",
아기공룡 둘리 - 얼음별 대모험,17441,"['애니메이션', '가족', '코미디', '모험', '뮤지컬']",['한국'],"['김수정', '임경원']","['박영남', '이인성']",
자산어보,189075,['드라마'],['한국'],['이준익'],"['설경구', '변요한']",
로망,182348,['멜로/로맨스'],['한국'],['이창근'],"['이순재', '정영숙', '조한철']",
피아니스트,35187,"['드라마', '전쟁']","['프랑스', '독일', '폴란드', '영국', '네덜란드']",['로만 폴란스키'],"['애드리언 브로디', '토마스 크레취만']",
업,52120,"['애니메이션', '가족', '모험', '코미디', '액션']",['미국'],"['피트 닥터', '밥 피터슨']","['에드워드 애스너', '조던 나가이', '크리스토퍼 플러머']",
프리퀀시,29657,"['범죄', '드라마', 'SF', '스릴러']",['미국'],['그레고리 호블릿'],"['데니스 퀘이드', '제임스 카비젤']",
소원,103535,['드라마'],['한국'],['이준익'],"['설경구', '엄지원', '이레']",
두 교황,189111,['드라마'],"['미국', '영국', '이탈리아', '아르헨티나']",['페르난도 메이렐레스'],"['안소니 홉킨스', '조나단 프라이스']",
천공의 성 라퓨타,18782,"['애니메이션', '판타지', '모험']",['일본'],['미야자키 하야오'],"['타나카 마유미', '요코자와 케이코', '하츠이 코토에']",
드래곤 길들이기,70457,"['애니메이션', '모험', '코미디', '가족', '판타지']",['미국'],"['딘 데블로이스', '크리스 샌더스']","['제이 바루첼', '제라드 버틀러', '아메리카 페레라']",
해리 포터와 죽음의 성물 - 2부,47528,"['모험', '판타지', '미스터리']","['영국', '미국']",['데이빗 예이츠'],"['다니엘 래드클리프', '엠마 왓슨', '루퍼트 그린트']",
토이 스토리,17153,"['애니메이션', '코미디', '가족', '판타지']",['미국'],['존 라세터'],"['톰 행크스', '팀 알렌']",
오세암,34181,"['애니메이션', '드라마']",['한국'],['성백엽'],"['김서영', '박선영']",
러브 유어셀프 인 서울,180220,['공연실황'],['한국'],"['RM', '진', '슈가']",['전체 관람가'],
메리 포핀스,11608,"['가족', '코미디', '뮤지컬', '판타지']",['미국'],['로버트 스티븐슨'],"['줄리 앤드류스', '딕 반 다이크', '데이비드 톰린슨']",
주먹왕 랄프,87307,"['애니메이션', '코미디', '가족']",['미국'],['리치 무어'],"['존 C. 라일리', '사라 실버맨', '잭 맥브레이어']",
블라인드 사이드,71081,['드라마'],['미국'],['존 리 행콕'],['산드라 블록'],
패왕별희 디 오리지널,14448,['드라마'],"['중국', '홍콩']",['천카이거'],"['장국영', '공리', '장풍의']",
쥬라기 공원,13500,"['SF', '액션', '모험']",['미국'],['스티븐 스필버그'],"['샘 닐', '로라 던', '제프 골드브럼']",
